full_text,case_folding,preprocessing,final_label,label,confidence
@JokoLok2586685 @KangManto123 @pertamina Sebagai ahli manajemen risiko penyebab utama kebakaran kilang Pertamina berdasarkan insiden historis meliputi faktor alam seperti petir masalah teknis seperti kebocoran hidrogen atau sulfidasi overflow dan korosi. Untuk kejadian terbaru di Dumai (Oktober 2025) penyelidikan,@jokolok2586685 @kangmanto123 @pertamina sebagai ahli manajemen risiko penyebab utama kebakaran kilang pertamina berdasarkan insiden historis meliputi faktor alam seperti petir masalah teknis seperti kebocoran hidrogen atau sulfidasi overflow dan korosi. untuk kejadian terbaru di dumai (oktober 2025) penyelidikan,ahli manajemen risiko sebab utama bakar kilang pertamina dasar insiden historis liput faktor alam petir teknis bocor hidrogen sulfidasi overflow korosi jadi baru dumai oktober lidi,positive,,0.5891166657520646
@KangManto123 @pertamina @grok kamu sebagai ahli manajemen resiko apa penyebab utama kebakaran kilang minyak Pertamina?,@kangmanto123 @pertamina @grok kamu sebagai ahli manajemen resiko apa penyebab utama kebakaran kilang minyak pertamina?,ahli manajemen resiko sebab utama bakar kilang minyak pertamina,negative,,0.4693127649429034
@KangManto123 @pertamina Kilang terbakar bau amis menyengat... Auuh aaaah geyap,@kangmanto123 @pertamina kilang terbakar bau amis menyengat... auuh aaaah geyap,kilang bakar bau amis sengat auuh ah geyap,negative,,0.6036539032302248
@SUARAKRISTEN1 @KangManto123 @pertamina Berdasarkan verifikasi dari berbagai sumber seperti Reuters Tempo dan Antara daftar kebakaran kilang Pertamina tersebut akurat. Dari 2021 hingga 2025 memang ada setidaknya satu insiden per tahun. Namun ini bukan pola abadi; sebelum 2021 tidak selalu tahunan.,@suarakristen1 @kangmanto123 @pertamina berdasarkan verifikasi dari berbagai sumber seperti reuters tempo dan antara daftar kebakaran kilang pertamina tersebut akurat. dari 2021 hingga 2025 memang ada setidaknya satu insiden per tahun. namun ini bukan pola abadi; sebelum 2021 tidak selalu tahunan.,dasar verifikasi sumber reuters tempo daftar bakar kilang pertamina akurat insiden pola abadi tahun,positive,,0.5298113757537389
Saling Sahut Purbaya &amp; Bahlil Soal Kilang Pertamina hingga LPG https://t.co/Occ0KwFPeF,saling sahut purbaya &amp; bahlil soal kilang pertamina hingga lpg https://t.co/occ0kwfpef,sahut purbaya amp bahlil kilang pertamina elpiji,positive,,0.5083271010635936
@KangManto123 @pertamina Kok isooookkk..... Padahal kilang'' di malaysia/thailand/pilipin/pietnam/ksmboja/timorleste gak pernah kedengaran terbakar,@kangmanto123 @pertamina kok isooookkk..... padahal kilang'' di malaysia/thailand/pilipin/pietnam/ksmboja/timorleste gak pernah kedengaran terbakar,isok kilang malaysia thailand pilipin pietnam ksmboja timorleste dengar bakar,negative,,0.441838581063632
@KangManto123 Ntar digugat peradilan internasional terus bayar ganti rugi. Gimana mau Indonesia maju @prabowo kalau orang politik masih ngelola BUMN. Gak seru ah cuma 1 kilang yg Kobong ayo bakar lagi @pertamina biar ramai,@kangmanto123 ntar digugat peradilan internasional terus bayar ganti rugi. gimana mau indonesia maju @prabowo kalau orang politik masih ngelola bumn. gak seru ah cuma 1 kilang yg kobong ayo bakar lagi @pertamina biar ramai,ntar gugat adil internasional bayar ganti rugi indonesia maju orang politik ngelola badan usaha milik negara seru ah kilang kobong ayo bakar biar ramai,negative,,0.44851114173573464
@KangManto123 @pertamina Semenjak mas pur ngomong ada kilang di bakar baru tau ternyata itu di sengaja ,@kangmanto123 @pertamina semenjak mas pur ngomong ada kilang di bakar baru tau ternyata itu di sengaja ,semenjak mas pur ngomong kilang bakar tau sengaja,negative,,0.546181536172984
@KangManto123 @pertamina Yg paling dirugikan kalo Indonesia punya kilang sendiri adalah SINGAPURA.. dan tentu pejabat yg doyan impor bbm,@kangmanto123 @pertamina yg paling dirugikan kalo indonesia punya kilang sendiri adalah singapura.. dan tentu pejabat yg doyan impor bbm,rugi indonesia kilang singapura jabat doyan impor bahan bakar minyak,negative,,0.568870251373301
Ini masalahnya di OPEX distribusi Setuju dengan Mentri Ekonomi Purbaya Pertamina harus perbanyak kilang disetiap pulau besar kudunya memang punya min 3-6 kilang besar yg bisa support konsumsi harian serta upgrade sistem processing yg sekarang operasi sesegera mungkin,ini masalahnya di opex distribusi setuju dengan mentri ekonomi purbaya pertamina harus perbanyak kilang disetiap pulau besar kudunya memang punya min 3-6 kilang besar yg bisa support konsumsi harian serta upgrade sistem processing yg sekarang operasi sesegera mungkin,opex distribusi tuju tri ekonomi purbaya pertamina banyak kilang tiap pulau kudu min kilang support konsumsi hari upgrade sistem processing operasi,positive,,0.4964415963885275
Pernyataan Menteri Keuangan Purbaya Yudhi Sadewa yang menyebut PT Pertamina malas membangun kilang baru memicu reaksi keras dari berbagai pihak termasuk politisi PDIP Ferdinand Hutahaean. Purbaya sebelumnya mengkritik Pertamina karena tidak merealisasikan pembangunan kilang https://t.co/tLPV7jvoys,pernyataan menteri keuangan purbaya yudhi sadewa yang menyebut pt pertamina malas membangun kilang baru memicu reaksi keras dari berbagai pihak termasuk politisi pdip ferdinand hutahaean. purbaya sebelumnya mengkritik pertamina karena tidak merealisasikan pembangunan kilang https://t.co/tlpv7jvoys,nyata menteri uang purbaya yudhi sadewa sebut pt pertamina malas bangun kilang picu reaksi keras politis pdip ferdinand hutahaean purbaya kritik pertamina realisasi bangun kilang,positive,,0.5153961456927931
EH BAHLUL! Pertamina aja pertalite sering kosong ya! Gue ceburin juga lu ke kilang minyak,eh bahlul! pertamina aja pertalite sering kosong ya! gue ceburin juga lu ke kilang minyak,eh bahlul pertamina aja pertalite kosong ceburin lu kilang minyak,negative,,0.5837193577058017
@KangManto123 @pertamina Yg Bakar kilang minyak hrs di usut,@kangmanto123 @pertamina yg bakar kilang minyak hrs di usut,bakar kilang minyak hrs usut,negative,,0.646177211035439
@KangManto123 @pertamina Bangun kilang udah bisnis bagus dapat dana besar utk rebuild bisa naikin impor selama pembangunan. Udah paling cuan itu,@kangmanto123 @pertamina bangun kilang udah bisnis bagus dapat dana besar utk rebuild bisa naikin impor selama pembangunan. udah paling cuan itu,bangun kilang bisnis bagus dana rebuild naikin impor bangun cuan,negative,,0.5025746871680443
@pertamina Kontol bumn nyusahin. Ga ada guna dzolim. Kualitas bensin setara mitan bangun kilang ga mau swasta direcokin mau lu apa sih njing? Kurang gede korupsi bos2 lu? Anjing,@pertamina kontol bumn nyusahin. ga ada guna dzolim. kualitas bensin setara mitan bangun kilang ga mau swasta direcokin mau lu apa sih njing? kurang gede korupsi bos2 lu? anjing,kontol badan usaha milik negara nyusahin dzolim kualitas bensin tara mitan bangun kilang swasta direcokin lu sih njing gede korupsi bos lu anjing,negative,,0.42057045851288677
Purbaya Sindir Pertamina soal Kilang Minyak hingga RI Tetap Impor BBM https://t.co/Dp6jU0SKBX,purbaya sindir pertamina soal kilang minyak hingga ri tetap impor bbm https://t.co/dp6ju0skbx,purbaya sindir pertamina kilang minyak ri impor bahan bakar minyak,negative,,0.5917567396384519
Ini negara berkembang tapi harganya negara maju njir yg mana daerah deketnya kilang minyak aja lebih dari ini pek,ini negara berkembang tapi harganya negara maju njir yg mana daerah deketnya kilang minyak aja lebih dari ini pek,negara kembang harga negara maju njir daerah deketnya kilang minyak aja pek,negative,,0.5275228462157868
@erwanice @hardye76 Kebakaran kilang minyak akibat sambaran petir memang terjadi di seluruh dunia seperti di Venezuela (2013 2022) Kuba (2022) Spanyol (2020) dan AS (2025). Namun tidak sesering di Indonesia di mana insiden hampir tahunan sejak 1995 (total 31 kasus hingga 2021 terutama di,@erwanice @hardye76 kebakaran kilang minyak akibat sambaran petir memang terjadi di seluruh dunia seperti di venezuela (2013 2022) kuba (2022) spanyol (2020) dan as (2025). namun tidak sesering di indonesia di mana insiden hampir tahunan sejak 1995 (total 31 kasus hingga 2021 terutama di,bakar kilang minyak akibat sambar petir dunia venezuela kuba spanyol as sering indonesia insiden tahun total,negative,,0.5156317354797708
@grok @hardye76 Apakah terbakar karena sambaran petir itu hal lumrah untuk kilang minyak diseluruh dunia? Dan apakah sering seperti di Indonesia?,@grok @hardye76 apakah terbakar karena sambaran petir itu hal lumrah untuk kilang minyak diseluruh dunia? dan apakah sering seperti di indonesia?,bakar sambar petir lumrah kilang minyak seluruh dunia indonesia,negative,,0.5307433871011509
Ayo shell cs bikin kilang supaya tidak bergantung ke pertamina.,ayo shell cs bikin kilang supaya tidak bergantung ke pertamina.,ayo shell cs bikin kilang gantung pertamina,negative,,0.45505949829125547
@erwanice @hardye76 Insiden kebakaran kilang Pertamina dengan alasan sambaran petir tercatat pada 2021 (Balongan Maret Cilacap Juni &amp; November) serta di Cilacap pada 1995 1998 1999 2000 2003 2007 2011. Beberapa sumber menyebut mayoritas karena faktor alam seperti petir tapi ada dugaan,@erwanice @hardye76 insiden kebakaran kilang pertamina dengan alasan sambaran petir tercatat pada 2021 (balongan maret cilacap juni &amp; november) serta di cilacap pada 1995 1998 1999 2000 2003 2007 2011. beberapa sumber menyebut mayoritas karena faktor alam seperti petir tapi ada dugaan,insiden bakar kilang pertamina alas sambar petir catat balong maret cilacap juni amp november cilacap sumber sebut mayoritas faktor alam petir duga,positive,,0.48752329694907165
@hardye76 @grok ditahun berapa aja yang alasan kilang kebakar adalah karena petir?,@hardye76 @grok ditahun berapa aja yang alasan kilang kebakar adalah karena petir?,tahun aja alas kilang bakar petir,negative,,0.7215826945258609
@PresidenKopi Dibalik terbakar ny kilang Maka banjir uang para mafia (Penjahat) Bayangin Berapa budget yg digunakan di dalam setiap pembangunan kembali kilang minyak yg (ter atau di) bakar trsbt,@presidenkopi dibalik terbakar ny kilang maka banjir uang para mafia (penjahat) bayangin berapa budget yg digunakan di dalam setiap pembangunan kembali kilang minyak yg (ter atau di) bakar trsbt,balik bakar ny kilang banjir uang mafia jahat bayangin budget bangun kilang minyak ter bakar trsbt,negative,,0.6172364095602803
@KangManto123 Demi untung sesaat woy kocak yg mau untung tuh pertamina!! coba jual bensin yg dah di campur etanol artinya bensin udah msk phase blending di fuel terminalnya. yg swasta mau itu bensin murni dari kilang yg blm di blending biar mereka blending sendiri sesuai sop prshan mrk!!,@kangmanto123 demi untung sesaat woy kocak yg mau untung tuh pertamina!! coba jual bensin yg dah di campur etanol artinya bensin udah msk phase blending di fuel terminalnya. yg swasta mau itu bensin murni dari kilang yg blm di blending biar mereka blending sendiri sesuai sop prshan mrk!!,untung woy kocak untung tuh pertamina coba jual bensin campur etanol bensin msk phase blending fuel terminal swasta bensin murni kilang blending biar blending sesuai sop prshan mrk,negative,,0.4414447611327459
@AdamVelcro @prabowo Pertamina minta Petronas yg isi kilang biar gak ada aneh²,@adamvelcro @prabowo pertamina minta petronas yg isi kilang biar gak ada aneh²,pertamina petronas isi kilang biar aneh,positive,,0.40883825709062793
@ArmaZulfikar @profesor_saham Membaca aja sulit misalnya ada oknum yg menjual bbm kilang sebelum terbakar akan dapat rupiah banyak sedangkan laporannya kilang terbakar urusan pasokan hilang dan harus impor lagi itu masalah lain ini mau cerita ada potensi fraud dan korupsi penyelundupan bbm di kilang,@armazulfikar @profesor_saham membaca aja sulit misalnya ada oknum yg menjual bbm kilang sebelum terbakar akan dapat rupiah banyak sedangkan laporannya kilang terbakar urusan pasokan hilang dan harus impor lagi itu masalah lain ini mau cerita ada potensi fraud dan korupsi penyelundupan bbm di kilang,baca aja sulit oknum jual bahan bakar minyak kilang bakar rupiah lapor kilang bakar urus pasok hilang impor cerita potensi fraud korupsi selundup bahan bakar minyak kilang,negative,,0.6774117539463095
#kualalumpur Persatuan Bolasepak Kuala Lumpur (KLFA) sedia menjadi 'kilang pengeksport' pemain muda berbakat kelahiran Kuala Lumpur ke serata negara malah ke luar negara untuk 10 tahun mendatang. https://t.co/slb0QOfn60,#kualalumpur persatuan bolasepak kuala lumpur (klfa) sedia menjadi 'kilang pengeksport' pemain muda berbakat kelahiran kuala lumpur ke serata negara malah ke luar negara untuk 10 tahun mendatang. https://t.co/slb0qofn60,kualalumpur satu bolasepak kuala lumpur klfa sedia kilang pengeksport main muda bakat lahir kuala lumpur rata negara negara,positive,,0.44776041853104487
Disentil Purbaya Yudhi Sadewa Begini Nasib 7 Proyek Kilang Pertamina yang Dulu Dijanjikan https://t.co/0OIOjectDe,disentil purbaya yudhi sadewa begini nasib 7 proyek kilang pertamina yang dulu dijanjikan https://t.co/0oiojectde,sentil purbaya yudhi sadewa nasib proyek kilang pertamina janji,positive,,0.604022268459309
@En_Blue_Bird suruh dio kojo kilang edinburg kek shh alam tu,@en_blue_bird suruh dio kojo kilang edinburg kek shh alam tu,suruh dio kojo kilang edinburg kek shh alam tu,positive,,0.3782170356484099
Negaraku di kelola Para bandit.. Setuju sama menkeu.. Pertamina males malesan bikin Kilang minyak..krn takut gak Ada alasan import ... https://t.co/koMip0TjlL,negaraku di kelola para bandit.. setuju sama menkeu.. pertamina males malesan bikin kilang minyak..krn takut gak ada alasan import ... https://t.co/komip0tjll,negara kelola bandit tuju menkeu pertamina males malesan bikin kilang minyak takut alas import,negative,,0.5868491984829773
https://t.co/wCq89hwtHb Bisnis Rente yg harus di hentikan di Pertamina!! Penjarakan mereka yg menyengsarakan rakyat karena BBM Oplosan dan Mahal!!,https://t.co/wcq89hwthb bisnis rente yg harus di hentikan di pertamina!! penjarakan mereka yg menyengsarakan rakyat karena bbm oplosan dan mahal!!,bisnis rente henti pertamina penjara sengsara rakyat bahan bakar minyak oplos mahal,negative,,0.5585415426274598
@ladifsaint dumai.. di riau ya.. banyak dong uangnya ada kilang minyak di riau.. tapi org riau banyak miskin sangat2 miskin.. baru2 ini gubrinya terbebani anggaran belanja membengkak setelah ada PPPK..,@ladifsaint dumai.. di riau ya.. banyak dong uangnya ada kilang minyak di riau.. tapi org riau banyak miskin sangat2 miskin.. baru2 ini gubrinya terbebani anggaran belanja membengkak setelah ada pppk..,dumai riau uang kilang minyak riau org riau miskin miskin gubrinya beban anggar belanja bengkak pk,positive,,0.46655507805457896
Pertamina malas nambah kilang sehingga kapasitas gak naik kata pak Menteri Purbaya.,pertamina malas nambah kilang sehingga kapasitas gak naik kata pak menteri purbaya.,pertamina malas nambah kilang kapasitas menteri purbaya,positive,,0.5535482362590837
@jackcfrost Kan memang malas .apanya yg salah digaji besar kok 5 thn blm ada yg jadi. Janjinya 7 kilang,@jackcfrost kan memang malas .apanya yg salah digaji besar kok 5 thn blm ada yg jadi. janjinya 7 kilang,malas apa salah gaji thn janji kilang,negative,,0.5218909285175064
@_riverheaven Katanya danantara mau bangun kilang.,@_riverheaven katanya danantara mau bangun kilang.,danantara bangun kilang,positive,,0.4077880182701887
@shimmienez @ubepandezul Di ba kilang kilala mo naman pla ahahahahahah,@shimmienez @ubepandezul di ba kilang kilala mo naman pla ahahahahahah,ba kilang kilala mo naman pla ahahahahahah,negative,,0.4327805879417924
Kilang Minyak Memanas: Menteri ESDM Bahlil dan Pertamina Tanggapi Pernyataan Menkeu Purbaya https://t.co/krPUrDXXNH,kilang minyak memanas: menteri esdm bahlil dan pertamina tanggapi pernyataan menkeu purbaya https://t.co/krpurdxxnh,kilang minyak panas menteri energi dan sumber daya mineral bahlil pertamina tanggap nyata menkeu purbaya,positive,,0.6465197697478018
Kilang Pertamina Plaju Salurkan Bantuan Untuk Korban Kebakaran di Kelurahan Tiga Empat Ulu Palembang https://t.co/SSe2H45Nyu lewat @rakyatpembaruan.com,kilang pertamina plaju salurkan bantuan untuk korban kebakaran di kelurahan tiga empat ulu palembang https://t.co/sse2h45nyu lewat @rakyatpembaruan.com,kilang pertamina plaju salur bantu korban bakar lurah ulu palembang com,positive,,0.6281808635557284
Tingkah dan Laku PDIP ini nggak pernah menyenangkan sedikitpun untuk Rakyat - Soal Kilang Pertamina Langkah yang diambil Purbaya itu benar namun pelaksanaannya yang harus tetap dikritisi supaya hasilnya menjadi Baik l Benar dan BerNilai - PDIP ini cuma Besar Mulut #hening https://t.co/U7tQQht2qC,tingkah dan laku pdip ini nggak pernah menyenangkan sedikitpun untuk rakyat - soal kilang pertamina langkah yang diambil purbaya itu benar namun pelaksanaannya yang harus tetap dikritisi supaya hasilnya menjadi baik l benar dan bernilai - pdip ini cuma besar mulut #hening https://t.co/u7tqqht2qc,tingkah laku pdip senang sedikit rakyat kilang pertamina langkah ambil purbaya laksana kritisi hasil l nila pdip mulut hening,positive,,0.5121359745170866
@profesor_saham Pengadaan Anggaran: - Perbaikan Kilang terbakar 20M 2 pcs : 40M Prepared by Dirut Pertamina Reviewed By Bahlil Approved By DPR,@profesor_saham pengadaan anggaran: - perbaikan kilang terbakar 20m 2 pcs : 40m prepared by dirut pertamina reviewed by bahlil approved by dpr,ada anggar baik kilang bakar m pcs m prepared by dirut pertamina reviewed by bahlil approved by dewan wakil rakyat,negative,,0.5570491379182401
@kang___L Spek produknya berantakan dr yg seharusnya kilangnya bbrp kali kebakaran .. terakhir bangun kilang baru kl gak salah thn 90 an .. buku perusahaannya rugi mafia migasnya merajalela .. ini pasti perusahaan minyak dan gas negara Nigeria .. @PrasetyoHadi28 @bang_dasco @pertamina,@kang___l spek produknya berantakan dr yg seharusnya kilangnya bbrp kali kebakaran .. terakhir bangun kilang baru kl gak salah thn 90 an .. buku perusahaannya rugi mafia migasnya merajalela .. ini pasti perusahaan minyak dan gas negara nigeria .. @prasetyohadi28 @bang_dasco @pertamina,spek produk beranta kilang kali bakar bangun kilang salah thn an buku usaha rugi mafia migasnya rajalela usaha minyak gas negara nigeria,negative,,0.44523976524516595
Laahh gitu aja Marah lha kalok korupsi bisa masak bangun Kilang Minyak Baru dengan teknologi baru dan Bensin lebih murah serta Ramah Lingkungan kok gak bisa?? Kenapa Anda Marah?? Lucu Ente,laahh gitu aja marah lha kalok korupsi bisa masak bangun kilang minyak baru dengan teknologi baru dan bensin lebih murah serta ramah lingkungan kok gak bisa?? kenapa anda marah?? lucu ente,laahh gitu aja marah lha kalok korupsi masak bangun kilang minyak teknologi bensin murah ramah lingkung marah lucu ente,negative,,0.48467648585373735
Menkeu Purbaya berhasil menggiring mapia menampakkan batang hidungnya hanya dalam waktu sehari....dituntut keberanian polisi mengusut semua kasus kebakaran kilang,menkeu purbaya berhasil menggiring mapia menampakkan batang hidungnya hanya dalam waktu sehari....dituntut keberanian polisi mengusut semua kasus kebakaran kilang,menkeu purbaya hasil giring mapia tampak batang hidung hari tuntut berani polisi usut bakar kilang,positive,,0.5297362000887179
@Bossbm17 @Johann_Eva8 @sams_Pedro689 @haziqMizzat3rd @IvarCripple @BBerkerak13441 @bellpire23 @MatthewShanmu10 @rahim8k Mana kau tahu ada campuran minyak babi? Kau biasa kerja di kilang minyak kah?,@bossbm17 @johann_eva8 @sams_pedro689 @haziqmizzat3rd @ivarcripple @bberkerak13441 @bellpire23 @matthewshanmu10 @rahim8k mana kau tahu ada campuran minyak babi? kau biasa kerja di kilang minyak kah?,kau campur minyak babi kau kerja kilang minyak,negative,,0.5675991948740632
@tham878 Hewan ini tauk kenapa kilang minyak tidak dibangun... . Kalo kilang minyak dibangun hewan ini pasti kelaparan mendadak.... https://t.co/QC9O7zAiNu,@tham878 hewan ini tauk kenapa kilang minyak tidak dibangun... . kalo kilang minyak dibangun hewan ini pasti kelaparan mendadak.... https://t.co/qc9o7zainu,hewan tauk kilang minyak bangun kilang minyak bangun hewan lapar dadak,negative,,0.4853662654384627
@userxmlf Kenapa pada alergi klou Pertamina bangun kilang ada yg kehilangan fee ya dari hasil impor bbm?,@userxmlf kenapa pada alergi klou pertamina bangun kilang ada yg kehilangan fee ya dari hasil impor bbm?,alergi klou pertamina bangun kilang hilang fee hasil impor bahan bakar minyak,negative,,0.5288522614312133
Jaga kilang aja ga bisa ya pntes jaga standar ga bisa ,jaga kilang aja ga bisa ya pntes jaga standar ga bisa ,jaga kilang aja pntes jaga standar,negative,,0.489450621853643
@jackcfrost Koruptor bela koruptor..itulah tradisinya. Kalau pertamina bangun kilang harusnya korupsi di sektor ini bisa ditekan dan harga BBM bisa lebih murah,@jackcfrost koruptor bela koruptor..itulah tradisinya. kalau pertamina bangun kilang harusnya korupsi di sektor ini bisa ditekan dan harga bbm bisa lebih murah,koruptor bela koruptor tradisi pertamina bangun kilang korupsi sektor tekan harga bahan bakar minyak murah,negative,,0.41825896863045536
@ladifsaint Sudah biasa kalau kilang dibakar buat menghilangkan barang bukti. itu kan cara kerja mafia migas. Bahlil lo ngapain aja... jangan jangan ente ikut terllibat.,@ladifsaint sudah biasa kalau kilang dibakar buat menghilangkan barang bukti. itu kan cara kerja mafia migas. bahlil lo ngapain aja... jangan jangan ente ikut terllibat.,kilang bakar hilang barang bukti kerja mafia migas bahlil lo ngapain aja ente terllibat,negative,,0.6900706100360186
Ini saingan berat Indonesia yang masih sangat mengandalkan BBM impor dari Singapura. Kapasitas Kilang 38% Lumpuh Rusia Bakal Impor BBM dari Singapura China dan Korsel | Halaman 2 https://t.co/BzFQvaFc7r,ini saingan berat indonesia yang masih sangat mengandalkan bbm impor dari singapura. kapasitas kilang 38% lumpuh rusia bakal impor bbm dari singapura china dan korsel | halaman 2 https://t.co/bzfqvafc7r,saing berat indonesia andal bahan bakar minyak impor singapura kapasitas kilang lumpuh rusia impor bahan bakar minyak singapura china korsel halaman,negative,,0.5463106401385419
Ukraina Klaim Serang Kilang Minyak Utama Rusia di Leningrad https://t.co/EHcuTKBPao,ukraina klaim serang kilang minyak utama rusia di leningrad https://t.co/ehcutkbpao,ukraina klaim serang kilang minyak utama rusia leningrad,negative,,0.5027427759527452
@KangManto123 Golkar tau apa? Belum lagi pertamina yang masih malas malasan bangun kilang kalau gitu lebih baik diserahkan ke swasta aja mau bangun kilang dimana jadinya porsi SPBU swasta bisa kembali terjamin tapi apakah pertamina dan para pejabrut mafia rela? ,@kangmanto123 golkar tau apa? belum lagi pertamina yang masih malas malasan bangun kilang kalau gitu lebih baik diserahkan ke swasta aja mau bangun kilang dimana jadinya porsi spbu swasta bisa kembali terjamin tapi apakah pertamina dan para pejabrut mafia rela? ,golkar tau pertamina malas malas bangun kilang gitu serah swasta aja bangun kilang porsi stasiun isi bahan bakar umum swasta jamin pertamina pejabrut mafia rela,negative,,0.40413415629285676
@kecapbang0o @profesor_saham Tapi kenapa di Indonesia kebakaran kilang berulang di tempat yang sama (Dumai Balikpapan Cilacap) dalam jarak waktu pendek? Masalahnya bukan ada/tidak ada insiden tapi kenapa standar keselamatan &amp; tata kelola kita gagal berulang kali?,@kecapbang0o @profesor_saham tapi kenapa di indonesia kebakaran kilang berulang di tempat yang sama (dumai balikpapan cilacap) dalam jarak waktu pendek? masalahnya bukan ada/tidak ada insiden tapi kenapa standar keselamatan &amp; tata kelola kita gagal berulang kali?,indonesia bakar kilang ulang dumai balikpapan cilacap jarak pendek insiden standar selamat amp tata kelola gagal ulang kali,positive,,0.46914225329557263
Sejarah kapal tangker Yang dijual ternyata Supaya kita Tergantung dengan Singapore yang Tak punya Kilang minyak. Indosat dijual Ke Singapura. Siapa Dibelakang ini??? Benang merah. Siapa partai merah? https://t.co/2aAj3UrbMu,sejarah kapal tangker yang dijual ternyata supaya kita tergantung dengan singapore yang tak punya kilang minyak. indosat dijual ke singapura. siapa dibelakang ini??? benang merah. siapa partai merah? https://t.co/2aaj3urbmu,sejarah kapal tangker jual gantung singapore kilang minyak indosat jual singapura belakang benang merah partai merah,negative,,0.49383260813471774
@Northernseaaa73 Tenang saja pak Menteri @KemenkeuRI .. pasti itu bagian yg buat kilang tdk jadi2,@northernseaaa73 tenang saja pak menteri @kemenkeuri .. pasti itu bagian yg buat kilang tdk jadi2,tenang menteri kilang,positive,,0.4182352421972145
Menkeu Purbaya: mereka janji akan bangun 7 kilang baru dan sampai sekarang tidak ada yang ada saja dibakar Menteri Keuangan Purbaya Yudhi Sadewa mendorong Badan Pengelola Investasi (BPI) Danantara untuk segera membangun kilang minyak di Indonesia. Ia menilai selama ini https://t.co/pPYJAtsoEO,menkeu purbaya: mereka janji akan bangun 7 kilang baru dan sampai sekarang tidak ada yang ada saja dibakar menteri keuangan purbaya yudhi sadewa mendorong badan pengelola investasi (bpi) danantara untuk segera membangun kilang minyak di indonesia. ia menilai selama ini https://t.co/ppyjatsoeo,menkeu purbaya janji bangun kilang bakar menteri uang purbaya yudhi sadewa dorong badan kelola investasi bpi danantara bangun kilang minyak indonesia nilai,positive,,0.5764251291711802
@GreatsonPetra @raharjosatrio16 @islah_bahrawi Sekalian obrolin ini. Tangki timbun Plumpang Jkt terbaik di dunia. Kapasitas 291 juta liter. Bayangin pret. Kalau di Kilang mustahil terjadi ledakan kecuali parsial. Kenapa krn semua potensi bahaya sdh ada jalan keluarnya... https://t.co/gk9gr7Gi8j,@greatsonpetra @raharjosatrio16 @islah_bahrawi sekalian obrolin ini. tangki timbun plumpang jkt terbaik di dunia. kapasitas 291 juta liter. bayangin pret. kalau di kilang mustahil terjadi ledakan kecuali parsial. kenapa krn semua potensi bahaya sdh ada jalan keluarnya... https://t.co/gk9gr7gi8j,obrolin tangki timbun plumpang jkt baik dunia kapasitas juta liter bayangin pret kilang mustahil ledak parsial potensi bahaya jalan keluar,positive,,0.4417951729307561
ESDM Jamin Pasokan Kilang Dumai Tetap Stabil Pasca Kebakaran https://t.co/cJx5WVE420,esdm jamin pasokan kilang dumai tetap stabil pasca kebakaran https://t.co/cjx5wve420,energi dan sumber daya mineral jamin pasok kilang dumai stabil pasca bakar,positive,,0.7203225490563854
@__AnakKolong @KemenkeuRI @KemensetnegRI @setkabgoid MAFIA MIGAS MULAI KELIMPUNGAN STRATEGI MEREKA DUDAH DI BACA OLEH PAK MENKEU UDAH NGAK BERANI LAGI UNTUK SABOTASE KILANG MINYAK UNTUN ALAT PROPAGANDA,@__anakkolong @kemenkeuri @kemensetnegri @setkabgoid mafia migas mulai kelimpungan strategi mereka dudah di baca oleh pak menkeu udah ngak berani lagi untuk sabotase kilang minyak untun alat propaganda,mafia migas kelimpungan strategi dudah baca menkeu ngak berani sabotase kilang minyak untun alat propaganda,negative,,0.48161102360250313
@jackcfrost Ini partai apa2an. Tuh kilang sering terbakar diminta peetanggungjawabannya bukan malah kritik Menkeu,@jackcfrost ini partai apa2an. tuh kilang sering terbakar diminta peetanggungjawabannya bukan malah kritik menkeu,partai an tuh kilang bakar peetanggungjawabannya kritik menkeu,negative,,0.49814937175500473
@Boediantar4 Ganti semua direksi dan komisaris pake gw orang pasti gw bangun 10 kilang minyak baru gitu aj susah kalo komisi orang Konaha paling jago,@boediantar4 ganti semua direksi dan komisaris pake gw orang pasti gw bangun 10 kilang minyak baru gitu aj susah kalo komisi orang konaha paling jago,ganti direksi komisaris pake orang bangun kilang minyak gitu aj susah komisi orang konaha jago,negative,,0.3879114562029543
Hsri ini gbs tidur trs malah scroll tiktok. Trs malah cape sendiri. Soalnya fyp nya habis dsri berita duka ponpes trs kilang pertamina trs syifa dilamar trs radio aktif di cikande.. Yaallah lelah juga mau kerja aja,hsri ini gbs tidur trs malah scroll tiktok. trs malah cape sendiri. soalnya fyp nya habis dsri berita duka ponpes trs kilang pertamina trs syifa dilamar trs radio aktif di cikande.. yaallah lelah juga mau kerja aja,hsri gbs tidur scroll tiktok cape fyp nya habis dsri berita duka ponpes kilang pertamina syifa lamar radio aktif cikande yaallah lelah kerja aja,negative,,0.4823757566668632
Saling Jawab Isu Kilang Minyak: Menkeu Purbaya vs Pertamina dan Menteri ESDM Bahlil https://t.co/0qHWGZeFsl,saling jawab isu kilang minyak: menkeu purbaya vs pertamina dan menteri esdm bahlil https://t.co/0qhwgzefsl,isu kilang minyak menkeu purbaya vs pertamina menteri energi dan sumber daya mineral bahlil,positive,,0.6868339588090494
